L,N,rho,boundary,freeze,T_LR,T_RL,DeltaT,nu_Q
6,3,0.5,PBC,hard,0.0013944362400319932,0.0003833310806555801,0.001011105159376413,1
6,3,0.5,PBC,dephase,0.0008822180304068894,0.0001266660292209565,0.0007555520011859329,1
6,3,0.5,PBC,clamped,0.002195355847112168,0.0013814717370053131,0.000813884110106855,1
6,4,0.6666666666666666,OBC,hard,0.0009213814422537325,0.000568200722472767,0.00035318071978096555,1
6,4,0.6666666666666666,OBC,dephase,0.0007177564103066914,0.0004922404626128696,0.00022551594769382177,1
6,4,0.6666666666666666,OBC,clamped,0.0008111793681209178,0.0005023219507016563,0.00030885741741926154,1
6,4,0.6666666666666666,PBC,hard,0.0009213814422537325,0.000568200722472767,0.00035318071978096555,1
6,4,0.6666666666666666,PBC,dephase,0.0005847920676593787,0.0003684289211491887,0.00021636314651019006,1
6,4,0.6666666666666666,PBC,clamped,0.0004196872880335434,0.00043364388835342993,-1.3956600319886547e-05,-1
6,5,0.8333333333333334,OBC,hard,-6.999995072476395e-05,6.999994761613948e-05,-0.00013999989834090343,-1
6,5,0.8333333333333334,OBC,dephase,-0.00011456795201425507,9.533720390919598e-05,-0.00020990515592345105,-1
6,5,0.8333333333333334,OBC,clamped,-0.00014220897925909526,8.231751058573877e-05,-0.00022452648984483403,-1
6,5,0.8333333333333334,PBC,hard,-6.999995072476395e-05,6.999994761613948e-05,-0.00013999989834090343,-1
6,5,0.8333333333333334,PBC,dephase,-0.00017873351865205223,0.0001679643277796572,-0.0003466978464317094,-1
6,5,0.8333333333333334,PBC,clamped,-0.0001282839563465643,1.54141934771701e-05,-0.0001436981498237344,-1
8,1,0.125,OBC,hard,0.0005512484471115187,-0.000551248446889474,0.0011024968940009927,1
8,1,0.125,OBC,dephase,0.0002699992900367931,-0.000551248446889474,0.0008212477369262672,1
8,1,0.125,OBC,clamped,0.0005762484134308465,-0.0004746861472781916,0.0010509345607090381,1
8,1,0.125,PBC,hard,0.0005512484471115187,-0.000551248446889474,0.0011024968940009927,1
8,1,0.125,PBC,dephase,0.0003937489969629837,-0.000551248446889474,0.0009449974438524578,1
8,1,0.125,PBC,clamped,0.0008684351548993163,0.00019906190917851063,0.0006693732457208057,1
8,2,0.25,OBC,hard,0.0037289239780413652,0.002059435625589856,0.0016694883524515092,1
8,2,0.25,OBC,dephase,0.003536627178668539,0.0019910364388309176,0.0015455907398376212,1
8,2,0.25,OBC,clamped,0.0037289914263105572,0.001911716806191066,0.0018172746201194911,1
8,2,0.25,PBC,hard,0.0037289239780413652,0.002059435625589856,0.0016694883524515092,1
8,2,0.25,PBC,dephase,0.003751877224900113,0.001750288301849423,0.00200158892305069,1
8,2,0.25,PBC,clamped,0.003568914753060426,0.0014670523098558874,0.0021018624432045385,1
8,3,0.375,OBC,hard,0.004270126058525392,0.0024649523862052547,0.0018051736723201373,1
8,3,0.375,OBC,dephase,0.003971638813826672,0.0024039136512499226,0.0015677251625767497,1
8,3,0.375,OBC,clamped,0.004448092868258868,0.002603855207894412,0.0018442376603644561,1
8,3,0.375,PBC,hard,0.004270126058525392,0.0024649523862052547,0.0018051736723201373,1
8,3,0.375,PBC,dephase,0.004045149152531735,0.002052443492495115,0.00199270566003662,1
8,3,0.375,PBC,clamped,0.005217663471057676,0.003488313148558575,0.0017293503224991014,1
8,4,0.5,OBC,hard,0.003051624948735565,0.0016459518583644694,0.0014056730903710957,1
8,4,0.5,OBC,dephase,0.0027539275544441466,0.0015555319907711862,0.0011983955636729604,1
8,4,0.5,OBC,clamped,0.0032367812554667807,0.001812148003654812,0.0014246332518119686,1
8,4,0.5,PBC,hard,0.003051624948735565,0.0016459518583644694,0.0014056730903710957,1
8,4,0.5,PBC,dephase,0.002720883146345443,0.0012049579054540516,0.0015159252408913915,1
8,4,0.5,PBC,clamped,0.0026940310289269576,0.0009034682197928134,0.0017905628091341441,1
8,5,0.625,OBC,hard,0.001398919699191481,0.0006770772489339549,0.000721842450257526,1
8,5,0.625,OBC,dephase,0.00117306005753548,0.0005954799036089753,0.0005775801539265046,1
8,5,0.625,OBC,clamped,0.0014386695821322348,0.0007259704721818139,0.000712699109950421,1
8,5,0.625,PBC,hard,0.001398919699191481,0.0006770772489339549,0.000721842450257526,1
8,5,0.625,PBC,dephase,0.0010762024942323478,0.000379885317425277,0.0006963171768070708,1
8,5,0.625,PBC,clamped,0.001683552944165001,0.0009160832283860998,0.0007674697157789012,1
8,6,0.75,OBC,hard,0.00022257179210782851,0.0001700718983421723,5.2499893765656225e-05,1
8,6,0.75,OBC,dephase,9.426979419302484e-05,0.0001398826352527749,-4.561284105975005e-05,-1
8,6,0.75,OBC,clamped,0.00013279197608184745,0.00014110893520324908,-8.316959121401624e-06,-1
8,6,0.75,PBC,hard,0.00022257179210782851,0.0001700718983421723,5.2499893765656225e-05,1
8,6,0.75,PBC,dephase,-2.3429694184784466e-05,0.00011942127065012187,-0.00014285096483490634,-1
8,6,0.75,PBC,clamped,-0.00017330626889133782,0.000296584288239643,-0.0004698905571309808,-1
8,7,0.875,OBC,hard,-0.00014624970834375972,0.0001462497078996705,-0.00029249941624343023,-1
8,7,0.875,OBC,dephase,-0.0001887834986114001,0.00016673357627894347,-0.00035551707489034357,-1
8,7,0.875,OBC,clamped,-0.00023669698245853965,0.000142599709374025,-0.00037929669183256465,-1
8,7,0.875,PBC,hard,-0.00014624970834375972,0.0001462497078996705,-0.00029249941624343023,-1
8,7,0.875,PBC,dephase,-0.0002779421772736157,0.0002716422602411228,-0.0005495844375147385,-1
8,7,0.875,PBC,clamped,-0.0002288021070384616,6.855849665754477e-05,-0.00029736060369600636,-1
